Wavelength_nm,2026_02_18_BluGlass_Lot2GainChip_GC1_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC2_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC3_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC4_T=20C__I=100mA.txt,2026_02_18_BluGlass_Lot2GainChip_GC5_T=20C__I=100mA.txt
407.74,50.168,56.712,47.513,65.037,69.184
407.76,58.908,62.512,50.413,74.037,73.284
407.79,52.778,61.112,44.263,63.137,68.784
407.82,59.658,66.812,50.013,74.837,75.384
407.85,49.948,57.312,46.613,63.737,60.784
407.87,90.688,106.41,93.913,115.64,115.48
407.9,49.108,56.512,46.363,61.737,70.984
407.93,66.888,79.212,63.663,87.637,90.684
407.95,48.358,56.112,44.263,63.737,67.384
407.98,62.358,65.312,53.063,74.137,78.684
408.01,49.628,53.312,44.513,64.537,66.084
408.04,58.828,68.712,53.513,70.737,76.184
408.06,55.548,68.312,56.163,76.737,78.084
408.09,55.938,69.312,46.963,76.537,71.184
408.12,47.538,56.312,43.163,64.737,60.084
408.14,52.768,55.112,42.313,68.537,66.184
408.17,56.168,68.812,56.013,76.437,76.784
